"","Edad..grupos.quinquenales.","Municipios","Sexo","value"
"1","Total","Total","Ambos sexos",4906117
"2","0-4","Total","Ambos sexos",228859
"3","05-09","Total","Ambos sexos",214110
"4","10-14","Total","Ambos sexos",221859
"5","15-19","Total","Ambos sexos",262101
"6","20-24","Total","Ambos sexos",367897
"7","25-29","Total","Ambos sexos",444673
"8","30-34","Total","Ambos sexos",422015
"9","35-39","Total","Ambos sexos",396192
"10","40-44","Total","Ambos sexos",362088
"11","45-49","Total","Ambos sexos",326511
"12","50-54","Total","Ambos sexos",314146
"13","55-59","Total","Ambos sexos",284415
"14","60-64","Total","Ambos sexos",226290
"15","65-69","Total","Ambos sexos",247813
"16","70-74","Total","Ambos sexos",216386
"17","75-79","Total","Ambos sexos",174013
"18","80-84","Total","Ambos sexos",107217
"19","85 y más","Total","Ambos sexos",89532
"20","Total","08001 Abrera","Ambos sexos",8823
"21","0-4","08001 Abrera","Ambos sexos",490
"22","05-09","08001 Abrera","Ambos sexos",406
"23","10-14","08001 Abrera","Ambos sexos",470
"24","15-19","08001 Abrera","Ambos sexos",557
"25","20-24","08001 Abrera","Ambos sexos",728
"26","25-29","08001 Abrera","Ambos sexos",930
"27","30-34","08001 Abrera","Ambos sexos",947
"28","35-39","08001 Abrera","Ambos sexos",770
"29","40-44","08001 Abrera","Ambos sexos",669
"30","45-49","08001 Abrera","Ambos sexos",577
"31","50-54","08001 Abrera","Ambos sexos",572
"32","55-59","08001 Abrera","Ambos sexos",552
"33","60-64","08001 Abrera","Ambos sexos",351
"34","65-69","08001 Abrera","Ambos sexos",275
"35","70-74","08001 Abrera","Ambos sexos",217
"36","75-79","08001 Abrera","Ambos sexos",143
"37","80-84","08001 Abrera","Ambos sexos",92
"38","85 y más","08001 Abrera","Ambos sexos",77
"39","Total","08002 Aguilar de Segarra","Ambos sexos",215
"40","0-4","08002 Aguilar de Segarra","Ambos sexos",8
"41","05-09","08002 Aguilar de Segarra","Ambos sexos",9
"42","10-14","08002 Aguilar de Segarra","Ambos sexos",10
"43","15-19","08002 Aguilar de Segarra","Ambos sexos",13
"44","20-24","08002 Aguilar de Segarra","Ambos sexos",6
"45","25-29","08002 Aguilar de Segarra","Ambos sexos",14
"46","30-34","08002 Aguilar de Segarra","Ambos sexos",13
"47","35-39","08002 Aguilar de Segarra","Ambos sexos",25
