"","Periodo","Sexo","Municipios","value"
"1","2016","Total","26 Rioja, La",315794
"2","2015","Total","26 Rioja, La",317053
"3","2014","Total","26 Rioja, La",319002
"4","2013","Total","26 Rioja, La",322027
"5","2012","Total","26 Rioja, La",323609
"6","2011","Total","26 Rioja, La",322955
"7","2010","Total","26 Rioja, La",322415
"8","2009","Total","26 Rioja, La",321702
"9","2008","Total","26 Rioja, La",317501
"10","2007","Total","26 Rioja, La",308968
"11","2006","Total","26 Rioja, La",306377
"12","2005","Total","26 Rioja, La",301084
"13","2004","Total","26 Rioja, La",293553
"14","2003","Total","26 Rioja, La",287390
"15","2002","Total","26 Rioja, La",281614
"16","2001","Total","26 Rioja, La",270400
"17","2000","Total","26 Rioja, La",264178
"18","1999","Total","26 Rioja, La",265178
"19","1998","Total","26 Rioja, La",263644
"20","1997","Total","26 Rioja, La",NA
"21","1996","Total","26 Rioja, La",264941
"22","2016","Hombres","26 Rioja, La",155969
"23","2015","Hombres","26 Rioja, La",156733
"24","2014","Hombres","26 Rioja, La",158090
"25","2013","Hombres","26 Rioja, La",160159
"26","2012","Hombres","26 Rioja, La",161574
"27","2011","Hombres","26 Rioja, La",161582
"28","2010","Hombres","26 Rioja, La",161884
"29","2009","Hombres","26 Rioja, La",162173
"30","2008","Hombres","26 Rioja, La",160342
"31","2007","Hombres","26 Rioja, La",155773
"32","2006","Hombres","26 Rioja, La",154556
"33","2005","Hombres","26 Rioja, La",151730
"34","2004","Hombres","26 Rioja, La",147214
"35","2003","Hombres","26 Rioja, La",143995
"36","2002","Hombres","26 Rioja, La",140780
"37","2001","Hombres","26 Rioja, La",134506
"38","2000","Hombres","26 Rioja, La",130956
"39","1999","Hombres","26 Rioja, La",131518
"40","1998","Hombres","26 Rioja, La",130708
"41","1997","Hombres","26 Rioja, La",NA
"42","1996","Hombres","26 Rioja, La",131183
"43","2016","Mujeres","26 Rioja, La",159825
"44","2015","Mujeres","26 Rioja, La",160320
"45","2014","Mujeres","26 Rioja, La",160912
"46","2013","Mujeres","26 Rioja, La",161868
"47","2012","Mujeres","26 Rioja, La",162035
"48","2011","Mujeres","26 Rioja, La",161373
"49","2010","Mujeres","26 Rioja, La",160531
"50","2009","Mujeres","26 Rioja, La",159529
"51","2008","Mujeres","26 Rioja, La",157159
