"","Periodo","Sexo","Provincias","value"
"1","2016","Total","Total Nacional",46557008
"2","2015","Total","Total Nacional",46624382
"3","2014","Total","Total Nacional",46771341
"4","2013","Total","Total Nacional",47129783
"5","2012","Total","Total Nacional",47265321
"6","2011","Total","Total Nacional",47190493
"7","2010","Total","Total Nacional",47021031
"8","2009","Total","Total Nacional",46745807
"9","2008","Total","Total Nacional",46157822
"10","2007","Total","Total Nacional",45200737
"11","2006","Total","Total Nacional",44708964
"12","2005","Total","Total Nacional",44108530
"13","2004","Total","Total Nacional",43197684
"14","2003","Total","Total Nacional",42717064
"15","2002","Total","Total Nacional",41837894
"16","2001","Total","Total Nacional",41116842
"17","2000","Total","Total Nacional",40499791
"18","1999","Total","Total Nacional",40202160
"19","1998","Total","Total Nacional",39852651
"20","1997","Total","Total Nacional",NA
"21","1996","Total","Total Nacional",39669394
"22","2016","Hombres","Total Nacional",22843610
"23","2015","Hombres","Total Nacional",22890383
"24","2014","Hombres","Total Nacional",22985676
"25","2013","Hombres","Total Nacional",23196386
"26","2012","Hombres","Total Nacional",23298356
"27","2011","Hombres","Total Nacional",23283187
"28","2010","Hombres","Total Nacional",23226185
"29","2009","Hombres","Total Nacional",23116988
"30","2008","Hombres","Total Nacional",22847737
"31","2007","Hombres","Total Nacional",22339962
"32","2006","Hombres","Total Nacional",22100466
"33","2005","Hombres","Total Nacional",21780869
"34","2004","Hombres","Total Nacional",21285247
"35","2003","Hombres","Total Nacional",21034326
"36","2002","Hombres","Total Nacional",20564089
"37","2001","Hombres","Total Nacional",20165514
"38","2000","Hombres","Total Nacional",19821384
"39","1999","Hombres","Total Nacional",19670642
"40","1998","Hombres","Total Nacional",19488465
"41","1997","Hombres","Total Nacional",NA
"42","1996","Hombres","Total Nacional",19399549
"43","2016","Mujeres","Total Nacional",23713398
"44","2015","Mujeres","Total Nacional",23733999
"45","2014","Mujeres","Total Nacional",23785665
"46","2013","Mujeres","Total Nacional",23933397
"47","2012","Mujeres","Total Nacional",23966965
